"subj","targSide","accuracy"
1," easy",1
2," easy",0.817073170731707
3," easy",0.875
4," easy",0.911764705882353
5," easy",1
6," easy",0.951612903225806
7," easy",1
8," easy",1
9," easy",0.935483870967742
10," easy",0.948979591836735
11," easy",1
12," easy",1
1," hard",0.838709677419355
2," hard",0.811320754716981
3," hard",0.736842105263158
4," hard",0.943820224719101
5," hard",1
6," hard",0.759259259259259
7," hard",0.813008130081301
8," hard",0.641975308641975
9," hard",0.470588235294118
10," hard",0.671328671328671
11," hard",0.741935483870968
12," hard",0.488888888888889
1,"absent",0.972375690607735
2,"absent",1
3,"absent",0.817757009345794
4,"absent",0.927215189873418
5,"absent",1
6,"absent",1
7,"absent",0.968152866242038
8,"absent",1
9,"absent",0.882051282051282
10,"absent",0.997005988023952
11,"absent",1
12,"absent",0.970588235294118
