"subj","trialNum","fixNum","fixX","xFixFlip","targSide"
"1","1",17,1,948,-12," hard"
"2","1",17,2,862,-98," hard"
"3","1",17,3,613,-347," hard"
"4","1",17,4,617,-343," hard"
"5","1",18,1,959,-1," hard"
"6","1",18,2,835,-125," hard"
"7","1",18,3,521,-439," hard"
"8","1",18,4,803,-157," hard"
"9","1",18,5,873,-87," hard"
"10","1",18,6,766,-194," hard"
"11","1",18,7,853,-107," hard"
"12","1",18,8,832,-128," hard"
"13","1",18,9,779,-181," hard"
"14","1",19,1,940,-20," easy"
"15","1",19,2,898,-62," easy"
"16","1",19,3,1202,242," easy"
"17","1",19,4,1219,259," easy"
"18","1",20,1,962,2," hard"
"19","1",20,2,896,-64," hard"
"20","1",20,3,1085,125," hard"
"21","1",20,4,977,17," hard"
"22","1",20,5,1195,235," hard"
"23","1",20,6,819,-141," hard"
"24","1",20,7,681,-279," hard"
"25","1",20,8,554,-406," hard"
"26","1",20,9,736,-224," hard"
"27","1",20,10,519,-441," hard"
"28","1",20,11,516,-444," hard"
"29","1",20,12,522,-438," hard"
"30","1",21,1,950,-10," hard"
"31","1",21,2,858,-102," hard"
"32","1",21,3,898,-62," hard"
"33","1",21,4,942,-18," hard"
"34","1",21,5,523,-437," hard"
"35","1",21,6,635,-325," hard"
"36","1",21,7,584,-376," hard"
"37","1",21,8,522,-438," hard"
"38","1",21,9,519,-441," hard"
"39","1",22,1,942,18," easy"
"40","1",22,2,872,88," easy"
"41","1",22,3,882,78," easy"
"42","1",23,1,943,17,"absent"
"43","1",23,2,1133,-173,"absent"
"44","1",23,3,1086,-126,"absent"
"45","1",23,4,1243,-283,"absent"
"46","1",23,5,1075,-115,"absent"
"47","1",23,6,541,419,"absent"
"48","1",23,7,1103,-143,"absent"
"49","1",23,8,1065,-105,"absent"
"50","1",23,9,1045,-85,"absent"
"51","1",23,10,1287,-327,"absent"
"52","1",23,11,1116,-156,"absent"
"53","1",23,12,1067,-107,"absent"
"54","1",23,13,1392,-432,"absent"
"55","1",23,14,1285,-325,"absent"
"56","1",23,15,1048,-88,"absent"
"57","1",23,16,987,-27,"absent"
"58","1",24,1,936,24," easy"
"59","1",24,2,684,276," easy"
"60","1",24,3,560,400," easy"
"61","1",25,1,744,-216,"absent"
"62","1",25,2,668,-292,"absent"
"63","1",25,3,560,-400,"absent"
"64","1",25,4,876,-84,"absent"
"65","1",25,5,1035,75,"absent"
"66","1",25,6,660,-300,"absent"
"67","1",25,7,873,-87,"absent"
"68","1",25,8,1352,392,"absent"
"69","1",25,9,1186,226,"absent"
"70","1",25,10,1270,310,"absent"
"71","1",25,11,1371,411,"absent"
"72","1",25,12,1347,387,"absent"
"73","1",25,13,566,-394,"absent"
"74","1",25,14,580,-380,"absent"
"75","1",26,1,950,10," hard"
"76","1",26,2,895,65," hard"
"77","1",26,3,1073,-113," hard"
"78","1",26,4,1032,-72," hard"
"79","1",27,1,935,-25,"absent"
"80","1",27,2,899,-61,"absent"
"81","1",27,3,1024,64,"absent"
"82","1",27,4,596,-364,"absent"
"83","1",27,5,554,-406,"absent"
"84","1",27,6,874,-86,"absent"
"85","1",27,7,674,-286,"absent"
"86","1",27,8,927,-33,"absent"
"87","1",27,9,1304,344,"absent"
