"condition","subj","trialNum","fixNo","xFix","xFixFlip","yFix","targSide","easySide","accuracy","RT","targetPre","trialType"
"1","tex",1,17,1,948,-12,553," hard"," right",1,1.401,"present","half"
"2","tex",1,17,2,862,-98,561," hard"," right",1,1.401,"present","half"
"3","tex",1,17,3,613,-347,488," hard"," right",1,1.401,"present","half"
"4","tex",1,17,4,617,-343,433," hard"," right",1,1.401,"present","half"
"5","tex",1,18,1,959,-1,553," hard"," right",1,2.495,"present","half"
"6","tex",1,18,2,835,-125,530," hard"," right",1,2.495,"present","half"
"7","tex",1,18,3,521,-439,582," hard"," right",1,2.495,"present","half"
"8","tex",1,18,4,803,-157,636," hard"," right",1,2.495,"present","half"
"9","tex",1,18,5,873,-87,741," hard"," right",1,2.495,"present","half"
"10","tex",1,18,6,766,-194,695," hard"," right",1,2.495,"present","half"
"11","tex",1,18,7,853,-107,705," hard"," right",1,2.495,"present","half"
"12","tex",1,18,8,832,-128,763," hard"," right",1,2.495,"present","half"
"13","tex",1,18,9,779,-181,749," hard"," right",1,2.495,"present","half"
"14","tex",1,19,1,940,-20,550," easy"," right",1,0.892,"present","half"
"15","tex",1,19,2,898,-62,573," easy"," right",1,0.892,"present","half"
"16","tex",1,19,3,1202,242,325," easy"," right",1,0.892,"present","half"
"17","tex",1,19,4,1219,259,302," easy"," right",1,0.892,"present","half"
"18","tex",1,20,1,962,2,533," hard"," right",1,2.508,"present","half"
"19","tex",1,20,2,896,-64,552," hard"," right",1,2.508,"present","half"
"20","tex",1,20,3,1085,125,408," hard"," right",1,2.508,"present","half"
"21","tex",1,20,4,977,17,426," hard"," right",1,2.508,"present","half"
"22","tex",1,20,5,1195,235,500," hard"," right",1,2.508,"present","half"
"23","tex",1,20,6,819,-141,647," hard"," right",1,2.508,"present","half"
"24","tex",1,20,7,681,-279,688," hard"," right",1,2.508,"present","half"
"25","tex",1,20,8,554,-406,493," hard"," right",1,2.508,"present","half"
"26","tex",1,20,9,736,-224,709," hard"," right",1,2.508,"present","half"
"27","tex",1,20,10,519,-441,553," hard"," right",1,2.508,"present","half"
"28","tex",1,20,11,516,-444,611," hard"," right",1,2.508,"present","half"
"29","tex",1,20,12,522,-438,589," hard"," right",1,2.508,"present","half"
"30","tex",1,21,1,950,-10,559," hard"," right",1,2.017,"present","half"
"31","tex",1,21,2,858,-102,535," hard"," right",1,2.017,"present","half"
"32","tex",1,21,3,898,-62,595," hard"," right",1,2.017,"present","half"
"33","tex",1,21,4,942,-18,461," hard"," right",1,2.017,"present","half"
"34","tex",1,21,5,523,-437,399," hard"," right",1,2.017,"present","half"
"35","tex",1,21,6,635,-325,602," hard"," right",1,2.017,"present","half"
