person, block, trialNum, trialType, targetPresent, targSide, easySide, targLocX, targLocY, response, rt
8, 1, 1, half, present, hard, right, 172, 266, 1, 1.019
8, 1, 2, half, present, hard, right, 334, 579, -1, 5.718
8, 1, 3, half, present, easy, right, 778, 124, 1, 1.020
8, 1, 4, half, present, hard, right, 77, 418, -1, 8.254
8, 1, 5, half, present, hard, right, 87, 548, 1, 6.136
8, 1, 6, half, present, easy, left, 445, 465, 1, 0.992
8, 1, 7, half, absent, hard, left, NaN, NaN, -1, 11.432
8, 1, 8, half, present, easy, left, 123, 194, 1, 0.858
8, 1, 9, half, absent, easy, right, NaN, NaN, -1, 11.877
8, 1, 10, half, present, hard, left, 589, 418, 1, 0.929
8, 1, 11, half, absent, easy, right, NaN, NaN, -1, 8.356
8, 1, 12, half, present, hard, left, 921, 305, 1, 1.804
8, 1, 13, half, absent, hard, left, NaN, NaN, -1, 6.532
8, 1, 14, half, present, easy, right, 580, 392, 1, 0.907
8, 1, 15, half, absent, easy, left, NaN, NaN, -1, 9.089
8, 1, 16, half, absent, hard, right, NaN, NaN, -1, 6.491
8, 1, 17, half, absent, hard, left, NaN, NaN, -1, 6.969
8, 1, 18, half, absent, hard, right, NaN, NaN, -1, 7.976
8, 1, 19, half, absent, hard, right, NaN, NaN, -1, 7.644
8, 1, 20, half, absent, hard, right, NaN, NaN, -1, 6.191
8, 1, 21, half, absent, easy, right, NaN, NaN, -1, 6.259
8, 1, 22, half, absent, easy, right, NaN, NaN, -1, 4.856
8, 1, 23, half, absent, hard, left, NaN, NaN, -1, 5.621
8, 1, 24, half, present, hard, right, 68, 392, 1, 1.333
8, 1, 25, half, present, easy, left, 240, 392, 1, 1.179
8, 1, 26, half, present, hard, right, 328, 187, 1, 1.410
8, 1, 27, half, absent, hard, left, NaN, NaN, -1, 3.320
8, 1, 28, half, absent, hard, right, NaN, NaN, -1, 3.221
8, 1, 29, half, absent, easy, left, NaN, NaN, -1, 3.896
8, 1, 30, half, present, easy, right, 610, 643, 1, 1.030
8, 1, 31, half, present, hard, left, 648, 685, -1, 3.187
8, 1, 32, half, absent, easy, left, NaN, NaN, -1, 3.518
8, 1, 33, half, absent, easy, left, NaN, NaN, -1, 4.967
8, 1, 34, half, absent, hard, right, NaN, NaN, -1, 3.979
8, 1, 35, half, present, hard, left, 626, 574, 1, 1.703
8, 1, 36, half, absent, easy, left, NaN, NaN, -1, 4.672
8, 1, 37, half, absent, hard, left, NaN, NaN, -1, 4.049
8, 1, 38, half, absent, easy, right, NaN, NaN, -1, 3.002
8, 1, 39, half, present, easy, left, 278, 670, 1, 5.546
8, 1, 40, half, absent, easy, right, NaN, NaN, -1, 3.133
8, 1, 41, half, absent, hard, left, NaN, NaN, -1, 4.116
8, 1, 42, half, absent, hard, right, NaN, NaN, -1, 5.137
8, 1, 43, half, present, easy, left, 114, 574, 1, 0.794
8, 1, 44, half, absent, easy, left, NaN, NaN, -1, 3.363
8, 1, 45, half, absent, hard, left, NaN, NaN, -1, 5.419
8, 1, 46, half, present, easy, right, 945, 248, 1, 0.817
8, 1, 47, half, present, easy, right, 813, 493, 1, 0.669
8, 1, 48, half, present, easy, right, 844, 421, 1, 0.598
8, 1, 49, half, absent, hard, left, NaN, NaN, -1, 4.601
8, 1, 50, half, present, hard, right, 88, 78, 1, 1.477
8, 1, 51, half, absent, easy, right, NaN, NaN, -1, 2.757
8, 1, 52, half, present, hard, right, 310, 104, 1, 1.188
8, 1, 53, half, absent, easy, left, NaN, NaN, -1, 2.851
8, 1, 54, half, present, easy, right, 900, 528, 1, 0.881
8, 1, 55, half, absent, easy, right, NaN, NaN, -1, 2.351
8, 1, 56, half, absent, easy, left, NaN, NaN, -1, 2.273
8, 1, 57, half, present, easy, right, 578, 679, 1, 0.768
8, 1, 58, half, absent, easy, left, NaN, NaN, -1, 2.239
8, 1, 59, half, present, hard, left, 635, 194, 1, 1.250
8, 1, 60, half, absent, easy, left, NaN, NaN, -1, 3.541
8, 1, 61, half, present, hard, left, 589, 418, 1, 0.916
8, 1, 62, half, absent, hard, right, NaN, NaN, -1, 2.138
8, 1, 63, half, present, easy, left, 409, 305, 1, 0.768
8, 1, 64, half, present, hard, right, 289, 102, 1, 1.371
8, 1, 65, half, absent, hard, right, NaN, NaN, -1, 3.579
8, 1, 66, half, present, easy, right, 719, 68, 1, 0.722
8, 1, 67, half, absent, easy, right, NaN, NaN, -1, 2.692
8, 1, 68, half, present, easy, left, 129, 542, 1, 0.745
8, 1, 69, half, present, easy, left, 310, 104, 1, 0.636
8, 1, 70, half, present, hard, left, 926, 208, 1, 0.956
8, 1, 71, half, absent, hard, right, NaN, NaN, -1, 2.031
8, 1, 72, half, present, easy, right, 752, 392, 1, 0.679
8, 1, 73, half, present, hard, right, 328, 187, 1, 1.108
8, 1, 74, half, present, hard, left, 875, 369, 1, 3.207
8, 1, 75, half, present, easy, left, 95, 511, 1, 0.770
8, 1, 76, half, absent, easy, right, NaN, NaN, -1, 4.515
8, 1, 77, half, present, hard, left, 690, 703, 1, 1.450
8, 1, 78, half, absent, hard, left, NaN, NaN, -1, 2.671
8, 1, 79, half, present, easy, left, 73, 347, 1, 1.472
8, 1, 80, half, present, hard, left, 945, 248, 1, 1.070
