"subj","targSide","RT"
1," easy",0.631
2," easy",0.648
3," easy",0.669
4," easy",0.665
5," easy",0.765
6," easy",0.689
7," easy",0.889
8," easy",0.881
9," easy",1.521
10," easy",1.012
11," easy",0.72
12," easy",0.812
1," hard",1.542
2," hard",1.181
3," hard",1.067
4," hard",1.18
5," hard",4.868
6," hard",1.175
7," hard",1.519
8," hard",1.45
9," hard",3.419
10," hard",1.506
11," hard",1.485
12," hard",1.877
1,"absent",4.215
2,"absent",2.702
3,"absent",1.231
4,"absent",2.03
5,"absent",5.86
6,"absent",2.2025
7,"absent",2.824
8,"absent",5.419
9,"absent",4.609
10,"absent",2.161
11,"absent",1.871
12,"absent",2.801
