condition	 subNum	 trialNo	 fixNo	 xFix	 yFix	 targSide	 easySide	 accuracy	 RT
tex	 1	 1	 1	 958	 544	 easy	 left	 0	 5.001
tex	 1	 1	 2	 926	 530	 easy	 left	 0	 5.001
tex	 1	 1	 3	 1017	 594	 easy	 left	 0	 5.001
tex	 1	 1	 4	 697	 555	 easy	 left	 0	 5.001
tex	 1	 1	 5	 901	 630	 easy	 left	 0	 5.001
tex	 1	 1	 6	 771	 615	 easy	 left	 0	 5.001
tex	 1	 1	 7	 736	 602	 easy	 left	 0	 5.001
tex	 1	 1	 8	 982	 939	 easy	 left	 0	 5.001
tex	 1	 1	 9	 1373	 934	 easy	 left	 0	 5.001
tex	 1	 1	 10	 1382	 422	 easy	 left	 0	 5.001
tex	 1	 1	 11	 1247	 362	 easy	 left	 0	 5.001
tex	 1	 1	 12	 1169	 446	 easy	 left	 0	 5.001
tex	 1	 1	 13	 587	 204	 easy	 left	 0	 5.001
tex	 1	 1	 14	 772	 269	 easy	 left	 0	 5.001
tex	 1	 1	 15	 1332	 582	 easy	 left	 0	 5.001
tex	 1	 1	 16	 1238	 574	 easy	 left	 0	 5.001
tex	 1	 1	 17	 916	 597	 easy	 left	 0	 5.001
tex	 1	 2	 1	 955	 541	 easy	 left	 0	 5.001
tex	 1	 2	 2	 975	 572	 easy	 left	 0	 5.001
tex	 1	 2	 3	 766	 509	 easy	 left	 0	 5.001
tex	 1	 2	 4	 1231	 420	 easy	 left	 0	 5.001
tex	 1	 2	 5	 814	 416	 easy	 left	 0	 5.001
tex	 1	 2	 6	 660	 365	 easy	 left	 0	 5.001
tex	 1	 2	 7	 509	 265	 easy	 left	 0	 5.001
tex	 1	 2	 8	 629	 848	 easy	 left	 0	 5.001
tex	 1	 2	 9	 472	 866	 easy	 left	 0	 5.001
tex	 1	 2	 10	 1165	 857	 easy	 left	 0	 5.001
tex	 1	 2	 11	 1345	 936	 easy	 left	 0	 5.001
tex	 1	 2	 12	 865	 793	 easy	 left	 0	 5.001
tex	 1	 2	 13	 697	 705	 easy	 left	 0	 5.001
tex	 1	 2	 14	 780	 734	 easy	 left	 0	 5.001
tex	 1	 3	 1	 949	 523	 easy	 left	 0	 5.001
tex	 1	 3	 2	 964	 495	 easy	 left	 0	 5.001
