observer,cd,bk,t,n,hetero_fix,ts
d1,brief,block 2,97,2,1,1
d1,brief,block 2,97,3,0,1
d1,brief,block 2,97,4,0,1
d1,brief,block 2,98,2,0,1.0104166666666667
d1,brief,block 2,98,3,1,1.0104166666666667
d1,brief,block 2,98,4,1,1.0104166666666667
d1,brief,block 2,98,5,1,1.0104166666666667
d1,brief,block 2,98,6,0,1.0104166666666667
d1,brief,block 2,99,2,1,1.0208333333333333
d1,brief,block 2,99,3,0,1.0208333333333333
d1,brief,block 2,99,4,0,1.0208333333333333
d1,brief,block 2,99,5,0,1.0208333333333333
d1,brief,block 2,99,6,0,1.0208333333333333
d1,brief,block 2,100,2,0,1.03125
d1,brief,block 2,100,3,1,1.03125
d1,brief,block 2,100,4,0,1.03125
d1,brief,block 2,100,5,0,1.03125
d1,brief,block 2,100,6,0,1.03125
d1,brief,block 2,101,2,0,1.0416666666666667
d1,brief,block 2,102,2,1,1.0520833333333333
d1,brief,block 2,102,3,0,1.0520833333333333
d1,brief,block 2,102,4,0,1.0520833333333333
d1,brief,block 2,103,2,0,1.0625
d1,brief,block 2,103,3,1,1.0625
d1,brief,block 2,103,4,1,1.0625
d1,brief,block 2,103,5,1,1.0625
d1,brief,block 2,103,6,1,1.0625
d1,brief,block 2,104,2,1,1.0729166666666667
d1,brief,block 2,104,3,0,1.0729166666666667
d1,brief,block 2,104,4,1,1.0729166666666667
d1,brief,block 2,104,5,1,1.0729166666666667
d1,brief,block 2,104,6,0,1.0729166666666667
d1,brief,block 2,105,2,0,1.0833333333333333
d1,brief,block 2,105,3,0,1.0833333333333333
d1,brief,block 2,106,2,0,1.09375
d1,brief,block 2,106,3,0,1.09375
d1,brief,block 2,107,2,1,1.1041666666666667
d1,brief,block 2,107,3,0,1.1041666666666667
d1,brief,block 2,107,4,1,1.1041666666666667
d1,brief,block 2,107,5,1,1.1041666666666667
d1,brief,block 2,107,6,1,1.1041666666666667
d1,brief,block 2,108,2,1,1.1145833333333333
d1,brief,block 2,108,3,1,1.1145833333333333
d1,brief,block 2,108,4,1,1.1145833333333333
d1,brief,block 2,108,5,0,1.1145833333333333
d1,brief,block 2,108,6,0,1.1145833333333333
d1,brief,block 2,109,2,1,1.125
d1,brief,block 2,109,3,0,1.125
d1,brief,block 2,109,4,1,1.125
d1,brief,block 2,109,5,1,1.125
d1,brief,block 2,109,6,1,1.125
d1,brief,block 2,110,2,0,1.1354166666666667
d1,brief,block 2,110,3,0,1.1354166666666667
d1,brief,block 2,110,4,1,1.1354166666666667
d1,brief,block 2,110,5,1,1.1354166666666667
d1,brief,block 2,110,6,1,1.1354166666666667
d1,brief,block 2,111,2,1,1.1458333333333333
d1,brief,block 2,111,3,1,1.1458333333333333
d1,brief,block 2,111,4,1,1.1458333333333333
d1,brief,block 2,111,5,0,1.1458333333333333
d1,brief,block 2,111,6,0,1.1458333333333333
d1,brief,block 2,112,2,0,1.15625
d1,brief,block 2,112,3,1,1.15625
d1,brief,block 2,112,4,1,1.15625
d1,brief,block 2,112,5,1,1.15625
d1,brief,block 2,112,6,1,1.15625
d1,brief,block 2,113,2,1,1.1666666666666667
d1,brief,block 2,113,3,0,1.1666666666666667
d1,brief,block 2,113,4,0,1.1666666666666667
d1,brief,block 2,113,5,1,1.1666666666666667
d1,brief,block 2,113,6,1,1.1666666666666667
d1,brief,block 2,114,2,0,1.1770833333333333
