person	 deadline	 block	 trialNum	 trialType	 targetPresent	 targTheta	 targLocX	 targLocY	 targVar	 response	 rt							
1	0	1	1	 half	p	7.85E-01	28	15	5.24E-01	1	2.31E+00							 
1	0	1	2	 half	p	7.85E-01	23	3	2.09E+00	-1	2.31E+00							 
1	0	1	3	 half	p	7.85E-01	23	2	5.24E-01	1	1.07E+00							 
1	0	1	4	 half	p	7.85E-01	28	7	5.24E-01	1	1.09E+00							 
1	0	1	5	 half	p	7.85E-01	19	17	5.24E-01	1	1.85E+00							 
1	0	1	6	 half	a	7.85E-01	 NaN	 NaN	 NaN	1	3.454						 	
1	0	1	7	 half	a	7.85E-01	 NaN	 NaN	 NaN	-1.00E+00	2.532						 	
1	0	1	8	 half	a	7.85E-01	 NaN	 NaN	 NaN	-1.00E+00	2.257						 	
1	0	1	9	 half	a	7.85E-01	 NaN	 NaN	 NaN	-1.00E+00	2.271						 	
1	0	1	10	 half	a	7.85E-01	 NaN	 NaN	 NaN	-1.00E+00	2.365						 	
1	0	2	1	 half	p	-7.85E-01	3	6	5.24E-01	1	2.35E+00						 	
1	0	2	2	 half	a	-7.85E-01	 NaN	 NaN	 NaN	-1.00E+00	2.618						 	
1	0	2	3	 half	a	-7.85E-01	 NaN	 NaN	 NaN	-1.00E+00	1.783						 	
1	0	2	4	 half	p	-7.85E-01	27	2	5.24E-01	1	1.28E+00						 	
1	0	2	5	 half	p	-7.85E-01	23	5	5.24E-01	1	8.89E-01						 	
1	0	2	6	 half	a	-7.85E-01	 NaN	 NaN	 NaN	-1.00E+00	2.331						 	
1	0	2	7	 half	p	-7.85E-01	10	NaN	2.09E+00	-1	1.30E+00							 
1	0	2	9	 half	a	-7.85E-01	 NaN	 NaN	 NaN	-1.00E+00	2.755						 	
1	0	2	12	 half	p	-7.85E-01	19	2	5.24E-01	1	1.10E+00						 	
1	0	2	13	 half	a	-7.85E-01	 NaN	 NaN	 NaN	-1.00E+00	2.547						 	
