observer,cd,targ_side,bk,t,rt,acc
d1,brief,homogeneous,block 2,97,0.907,1
d1,brief,absent,block 2,98,2.943,0
d1,brief,absent,block 2,99,2.648,1
d1,brief,heterogeneous,block 2,100,3.142,0
d1,brief,homogeneous,block 2,101,1.13,1
d1,brief,homogeneous,block 2,102,0.578,1
d1,brief,absent,block 2,103,2.448,1
d1,brief,absent,block 2,104,2.684,1
d1,brief,homogeneous,block 2,105,0.508,1
d1,brief,homogeneous,block 2,106,0.589,1
d1,brief,absent,block 2,107,1.73,1
d1,brief,heterogeneous,block 2,108,2.402,0
d1,brief,absent,block 2,109,3.402,1
d1,brief,absent,block 2,110,2.954,1
d1,brief,heterogeneous,block 2,111,3.201,0
d1,brief,heterogeneous,block 2,112,3.33,0
d1,brief,absent,block 2,113,2.989,1
d1,brief,absent,block 2,114,3.014,0
d1,brief,heterogeneous,block 2,115,3.46,0
d1,brief,homogeneous,block 2,116,0.789,1
d1,brief,homogeneous,block 2,117,0.683,1
d1,brief,homogeneous,block 2,118,0.496,1
d1,brief,absent,block 2,119,2.437,1
d1,brief,heterogeneous,block 2,120,3.002,0
d1,brief,absent,block 2,121,3.226,1
d1,brief,heterogeneous,block 2,122,2.754,1
d1,brief,heterogeneous,block 2,123,2.354,0
d1,brief,absent,block 2,124,2.578,1
d1,brief,absent,block 2,125,3.483,1
d1,brief,absent,block 2,126,2.825,0
d1,brief,absent,block 2,127,2.99,0
d1,brief,absent,block 2,128,2.777,0
d1,brief,absent,block 2,129,2.837,1
d1,brief,heterogeneous,block 2,130,3.166,0
d1,brief,absent,block 2,131,2.436,1
d1,brief,homogeneous,block 2,132,0.896,1
d1,brief,homogeneous,block 2,133,0.848,1
d1,brief,homogeneous,block 2,134,0.766,1
d1,brief,absent,block 2,135,2.308,1
d1,brief,heterogeneous,block 2,136,2.119,0
d1,brief,homogeneous,block 2,137,0.649,1
d1,brief,absent,block 2,138,2.543,1
d1,brief,absent,block 2,139,1.731,1
d1,brief,heterogeneous,block 2,140,2.683,0
d1,brief,absent,block 2,141,2.436,1
d1,brief,absent,block 2,142,2.495,1
d1,brief,heterogeneous,block 2,143,2.919,0
d1,brief,homogeneous,block 2,144,0.554,1
d1,brief,absent,block 2,145,2.555,1
d1,brief,absent,block 2,146,3.425,1
d1,brief,heterogeneous,block 2,147,2.543,0
d1,brief,homogeneous,block 2,148,0.554,1
d1,brief,absent,block 2,149,2.743,0
d1,brief,absent,block 2,150,2.413,1
d1,brief,absent,block 2,151,2.425,1
d1,brief,heterogeneous,block 2,152,2.672,0
d1,brief,heterogeneous,block 2,153,2.33,1
d1,brief,absent,block 2,154,2.507,1
