"subj","version","targSide","completed","RT"
2,"Timed","Heterogeneous","1",1.56238461538462
9,"Timed","Heterogeneous","1",2.0865
11,"Timed","Heterogeneous","1",2.6665
13,"Timed","Heterogeneous","1",2.68284615384615
15,"Timed","Heterogeneous","1",2.551
17,"Timed","Heterogeneous","1",2.6118
19,"Timed","Heterogeneous","1",1.473
21,"Timed","Heterogeneous","1",2.30791666666667
1,"Untimed","Heterogeneous","1",4.31575
7,"Untimed","Heterogeneous","1",3.21142857142857
8,"Untimed","Heterogeneous","1",12.9081428571429
10,"Untimed","Heterogeneous","1",10.7550769230769
12,"Untimed","Heterogeneous","1",19.0008888888889
14,"Untimed","Heterogeneous","1",5.265
16,"Untimed","Heterogeneous","1",8.61328571428571
18,"Untimed","Heterogeneous","1",6.92809090909091
22,"Untimed","Heterogeneous","1",5.5494
2,"Timed","Homogeneous","1",0.725875
6,"Timed","Homogeneous","1",0.805541666666667
9,"Timed","Homogeneous","1",0.82325
11,"Timed","Homogeneous","1",0.852041666666667
13,"Timed","Homogeneous","1",0.752090909090909
15,"Timed","Homogeneous","1",1.03379166666667
17,"Timed","Homogeneous","1",1.08839130434783
19,"Timed","Homogeneous","1",0.679347826086957
21,"Timed","Homogeneous","1",1.02629166666667
1,"Untimed","Homogeneous","1",1.191875
7,"Untimed","Homogeneous","1",0.780166666666667
8,"Untimed","Homogeneous","1",2.09460869565217
10,"Untimed","Homogeneous","1",1.23954166666667
12,"Untimed","Homogeneous","1",1.20475
14,"Untimed","Homogeneous","1",0.995863636363636
16,"Untimed","Homogeneous","1",1.09925
18,"Untimed","Homogeneous","1",0.910291666666667
22,"Untimed","Homogeneous","1",0.990708333333333
2,"Timed","Absent","1",2.64177083333333
6,"Timed","Absent","1",1.12420833333333
9,"Timed","Absent","1",2.13475555555556
11,"Timed","Absent","1",2.6775
13,"Timed","Absent","1",3.10256
15,"Timed","Absent","1",2.75024390243902
17,"Timed","Absent","1",3.12005
19,"Timed","Absent","1",1.91451162790698
21,"Timed","Absent","1",3.30108108108108
1,"Untimed","Absent","1",13.0694782608696
7,"Untimed","Absent","1",6.56068292682927
8,"Untimed","Absent","1",24.9849574468085
10,"Untimed","Absent","1",20.075
12,"Untimed","Absent","1",31.781875
14,"Untimed","Absent","1",12.224652173913
16,"Untimed","Absent","1",14.5662093023256
18,"Untimed","Absent","1",14.8575227272727
22,"Untimed","Absent","1",8.28869444444445
1,"Timed","Heterogeneous","2",2.3564
7,"Timed","Heterogeneous","2",1.1115
8,"Timed","Heterogeneous","2",2.858625
10,"Timed","Heterogeneous","2",1.77985714285714
12,"Timed","Heterogeneous","2",3.43375
14,"Timed","Heterogeneous","2",2.6465
16,"Timed","Heterogeneous","2",2.56633333333333
18,"Timed","Heterogeneous","2",1.448
22,"Timed","Heterogeneous","2",2.17766666666667
2,"Untimed","Heterogeneous","2",1.4555
6,"Untimed","Heterogeneous","2",12.5872857142857
9,"Untimed","Heterogeneous","2",2.666
11,"Untimed","Heterogeneous","2",2.456
13,"Untimed","Heterogeneous","2",14.676
15,"Untimed","Heterogeneous","2",5.52425
17,"Untimed","Heterogeneous","2",3.70775
19,"Untimed","Heterogeneous","2",0.8935
21,"Untimed","Heterogeneous","2",2.07857142857143
1,"Timed","Homogeneous","2",0.681625
7,"Timed","Homogeneous","2",0.654625
8,"Timed","Homogeneous","2",1.08708333333333
10,"Timed","Homogeneous","2",0.750583333333333
12,"Timed","Homogeneous","2",1.64770833333333
14,"Timed","Homogeneous","2",0.799
16,"Timed","Homogeneous","2",0.804391304347826
18,"Timed","Homogeneous","2",0.709125
22,"Timed","Homogeneous","2",0.765083333333333
2,"Untimed","Homogeneous","2",0.648083333333333
6,"Untimed","Homogeneous","2",0.875916666666667
9,"Untimed","Homogeneous","2",0.763083333333333
11,"Untimed","Homogeneous","2",0.705608695652174
13,"Untimed","Homogeneous","2",0.842125
15,"Untimed","Homogeneous","2",0.873291666666667
17,"Untimed","Homogeneous","2",0.767826086956522
19,"Untimed","Homogeneous","2",0.578916666666667
21,"Untimed","Homogeneous","2",1.03120833333333
1,"Timed","Absent","2",2.46026315789474
7,"Timed","Absent","2",1.98695454545455
8,"Timed","Absent","2",3.16540540540541
10,"Timed","Absent","2",2.141675
12,"Timed","Absent","2",2.26712195121951
14,"Timed","Absent","2",2.68777777777778
16,"Timed","Absent","2",2.53687096774194
18,"Timed","Absent","2",2.80039583333333
22,"Timed","Absent","2",2.63013953488372
2,"Untimed","Absent","2",3.32989583333333
6,"Untimed","Absent","2",13.9676153846154
9,"Untimed","Absent","2",3.89525531914894
11,"Untimed","Absent","2",4.80030434782609
13,"Untimed","Absent","2",23.6249574468085
15,"Untimed","Absent","2",5.98542553191489
17,"Untimed","Absent","2",6.78979166666667
19,"Untimed","Absent","2",2.3756
21,"Untimed","Absent","2",8.58055319148936
