"subj","version","completed","RT"
2,"Timed","1",1.93572941176471
6,"Timed","1",1.01798611111111
9,"Timed","1",1.69007042253521
11,"Timed","1",2.08456756756757
13,"Timed","1",2.14978333333333
15,"Timed","1",2.12944776119403
17,"Timed","1",2.3955
19,"Timed","1",1.48315277777778
21,"Timed","1",2.38994520547945
1,"Untimed","1",8.74410810810811
7,"Untimed","1",4.30822222222222
8,"Untimed","1",17.0496883116883
10,"Untimed","1",12.5327631578947
12,"Untimed","1",21.0717777777778
14,"Untimed","1",8.45123943661972
16,"Untimed","1",9.63543243243243
18,"Untimed","1",9.51629113924051
22,"Untimed","1",5.38333846153846
1,"Timed","2",1.81538805970149
7,"Timed","2",1.49420833333333
8,"Timed","2",2.40694202898551
10,"Timed","2",1.63577464788732
12,"Timed","2",2.11930434782609
14,"Timed","2",1.99385
16,"Timed","2",1.8757
18,"Timed","2",2.05289743589744
22,"Timed","2",1.9713
2,"Untimed","2",2.2763488372093
6,"Untimed","2",9.63611688311688
9,"Untimed","2",2.8274
11,"Untimed","2",3.40781690140845
13,"Untimed","2",15.730619047619
15,"Untimed","2",4.32494666666667
17,"Untimed","2",4.72445569620253
19,"Untimed","2",1.65429411764706
21,"Untimed","2",5.12701086956522
