"subj","targSide","version","completed","acc"
"2","Heterogeneous","Timed","1",0.541666666666667
"3","Heterogeneous","Timed","1",0
"6","Heterogeneous","Timed","1",0.0833333333333333
"8","Heterogeneous","Timed","1",0.25
"10","Heterogeneous","Timed","1",0.541666666666667
"12","Heterogeneous","Timed","1",0.0833333333333333
"14","Heterogeneous","Timed","1",0.208333333333333
"16","Heterogeneous","Timed","1",0.25
"17","Heterogeneous","Timed","1",0.5
"2","Homogeneous","Timed","1",1
"3","Homogeneous","Timed","1",1
"6","Homogeneous","Timed","1",1
"8","Homogeneous","Timed","1",1
"10","Homogeneous","Timed","1",0.916666666666667
"12","Homogeneous","Timed","1",1
"14","Homogeneous","Timed","1",0.958333333333333
"16","Homogeneous","Timed","1",0.958333333333333
"17","Homogeneous","Timed","1",1
"2","Absent","Timed","1",1
"3","Absent","Timed","1",1
"6","Absent","Timed","1",0.9375
"8","Absent","Timed","1",0.916666666666667
"10","Absent","Timed","1",0.520833333333333
"12","Absent","Timed","1",0.854166666666667
"14","Absent","Timed","1",0.833333333333333
"16","Absent","Timed","1",0.895833333333333
"17","Absent","Timed","1",0.770833333333333
"1","Heterogeneous","Untimed","1",0.166666666666667
"4","Heterogeneous","Untimed","1",0.291666666666667
"5","Heterogeneous","Untimed","1",0.291666666666667
"7","Heterogeneous","Untimed","1",0.541666666666667
"9","Heterogeneous","Untimed","1",0.75
"11","Heterogeneous","Untimed","1",0.125
"13","Heterogeneous","Untimed","1",0.291666666666667
"15","Heterogeneous","Untimed","1",0.458333333333333
"18","Heterogeneous","Untimed","1",0.208333333333333
"1","Homogeneous","Untimed","1",1
"4","Homogeneous","Untimed","1",1
"5","Homogeneous","Untimed","1",0.958333333333333
"7","Homogeneous","Untimed","1",1
"9","Homogeneous","Untimed","1",1
"11","Homogeneous","Untimed","1",0.916666666666667
"13","Homogeneous","Untimed","1",1
"15","Homogeneous","Untimed","1",1
"18","Homogeneous","Untimed","1",1
"1","Absent","Untimed","1",0.958333333333333
"4","Absent","Untimed","1",0.854166666666667
"5","Absent","Untimed","1",0.979166666666667
"7","Absent","Untimed","1",0.8125
"9","Absent","Untimed","1",1
"11","Absent","Untimed","1",0.958333333333333
"13","Absent","Untimed","1",0.895833333333333
"15","Absent","Untimed","1",0.916666666666667
"18","Absent","Untimed","1",0.75
"1","Heterogeneous","Timed","2",0.208333333333333
"4","Heterogeneous","Timed","2",0.166666666666667
"5","Heterogeneous","Timed","2",0.333333333333333
"7","Heterogeneous","Timed","2",0.291666666666667
"9","Heterogeneous","Timed","2",0.166666666666667
"11","Heterogeneous","Timed","2",0.0833333333333333
"13","Heterogeneous","Timed","2",0.25
"15","Heterogeneous","Timed","2",0.25
"18","Heterogeneous","Timed","2",0.125
"1","Homogeneous","Timed","2",1
"4","Homogeneous","Timed","2",1
"5","Homogeneous","Timed","2",1
"7","Homogeneous","Timed","2",1
"9","Homogeneous","Timed","2",1
"11","Homogeneous","Timed","2",0.916666666666667
"13","Homogeneous","Timed","2",0.958333333333333
"15","Homogeneous","Timed","2",1
"18","Homogeneous","Timed","2",1
"1","Absent","Timed","2",0.791666666666667
"4","Absent","Timed","2",0.916666666666667
"5","Absent","Timed","2",0.770833333333333
"7","Absent","Timed","2",0.833333333333333
"9","Absent","Timed","2",0.854166666666667
"11","Absent","Timed","2",0.75
"13","Absent","Timed","2",0.645833333333333
"15","Absent","Timed","2",1
"18","Absent","Timed","2",0.895833333333333
"2","Heterogeneous","Untimed","2",0.583333333333333
"3","Heterogeneous","Untimed","2",0.583333333333333
"6","Heterogeneous","Untimed","2",0.166666666666667
"8","Heterogeneous","Untimed","2",0.0833333333333333
"10","Heterogeneous","Untimed","2",0.541666666666667
"12","Heterogeneous","Untimed","2",0.166666666666667
"14","Heterogeneous","Untimed","2",0.333333333333333
"16","Heterogeneous","Untimed","2",0.166666666666667
"17","Heterogeneous","Untimed","2",0.875
"2","Homogeneous","Untimed","2",1
"3","Homogeneous","Untimed","2",1
"6","Homogeneous","Untimed","2",1
"8","Homogeneous","Untimed","2",0.958333333333333
"10","Homogeneous","Untimed","2",1
"12","Homogeneous","Untimed","2",1
"14","Homogeneous","Untimed","2",0.958333333333333
"16","Homogeneous","Untimed","2",1
"17","Homogeneous","Untimed","2",1
"2","Absent","Untimed","2",1
"3","Absent","Untimed","2",0.8125
"6","Absent","Untimed","2",0.979166666666667
"8","Absent","Untimed","2",0.958333333333333
"10","Absent","Untimed","2",0.979166666666667
"12","Absent","Untimed","2",0.979166666666667
"14","Absent","Untimed","2",1
"16","Absent","Untimed","2",0.833333333333333
"17","Absent","Untimed","2",0.979166666666667
