"subj","completed","version","propHetro"
"TU 11"," 1","T",0.756990223306013
"TU 13"," 1","T",0.450121212121212
"TU 15"," 1","T",0.894576379974326
"TU 17"," 1","T",0.570470875734034
"TU 19"," 1","T",0.764083128214095
"TU 2"," 1","T",0.766400850611377
"TU 21"," 1","T",0.765047294577655
"TU 6"," 1","T",0.225603426718504
"TU 9"," 1","T",0.324043869187508
"UT 1"," 2","T",0.628985803985804
"UT 10"," 2","T",0.673248170771391
"UT 12"," 2","T",0.22571030502065
"UT 14"," 2","T",0.866031746031746
"UT 16"," 2","T",0.640634449800189
"UT 18"," 2","T",0.829379432624114
"UT 22"," 2","T",0.698046027802125
"UT 7"," 2","T",0.656745445990455
"UT 8"," 2","T",0.728568147979913
"UT 1"," 1","U",0.423488372093023
"UT 10"," 1","U",0.497545337545338
"UT 12"," 1","U",0.289014591754478
"UT 14"," 1","U",0.717272727272727
"UT 16"," 1","U",0.467857142857143
"UT 18"," 1","U",0.546116510789168
"UT 22"," 1","U",0.403860124695039
"UT 7"," 1","U",0.590725510684943
"UT 8"," 1","U",0.568205574912892
"TU 11"," 2","U",0.585445802275071
"TU 13"," 2","U",0.373806923299824
"TU 15"," 2","U",0.824734298914673
"TU 17"," 2","U",0.717723488352536
"TU 19"," 2","U",0.782435897435897
"TU 2"," 2","U",0.953940648723257
"TU 21"," 2","U",0.910101390166003
"TU 6"," 2","U",0.746438857688858
"TU 9"," 2","U",0.562783765046953
