subNum	 version	 completed	 trialNo	 targPresent	 targSide	 easySide	 RT	 response	 accuracy
1	 T	 2	 1	 1	 right	 R	 0.907	 l	 1
1	 T	 2	 2	 0	 x	 L	 2.943	 l	 0
1	 T	 2	 3	 0	 x	 R	 2.648	 r	 1
1	 T	 2	 4	 1	 left	 R	 3.142	 r	 0
1	 T	 2	 5	 1	 right	 R	 1.130	 l	 1
1	 T	 2	 6	 1	 left	 L	 0.578	 l	 1
1	 T	 2	 7	 0	 x	 L	 2.448	 r	 1
1	 T	 2	 8	 0	 x	 R	 2.684	 r	 1
1	 T	 2	 9	 1	 left	 L	 0.508	 l	 1
1	 T	 2	 10	 1	 left	 L	 0.589	 l	 1
1	 T	 2	 11	 0	 x	 L	 1.730	 r	 1
1	 T	 2	 12	 1	 left	 R	 2.402	 r	 0
1	 T	 2	 13	 0	 x	 L	 3.402	 r	 1
1	 T	 2	 14	 0	 x	 L	 2.954	 r	 1
1	 T	 2	 15	 1	 right	 L	 3.201	 r	 0
1	 T	 2	 16	 1	 right	 L	 3.330	 r	 0
1	 T	 2	 17	 0	 x	 R	 2.989	 r	 1
1	 T	 2	 18	 0	 x	 L	 3.014	 l	 0
1	 T	 2	 19	 1	 right	 L	 3.460	 r	 0
1	 T	 2	 20	 1	 left	 L	 0.789	 l	 1
1	 T	 2	 21	 1	 right	 R	 0.683	 l	 1
1	 T	 2	 22	 1	 left	 L	 0.496	 l	 1
1	 T	 2	 23	 0	 x	 R	 2.437	 r	 1
1	 T	 2	 24	 1	 left	 R	 3.002	 r	 0
1	 T	 2	 25	 0	 x	 R	 3.226	 r	 1
1	 T	 2	 26	 1	 right	 L	 2.754	 l	 1
1	 T	 2	 27	 1	 left	 R	 2.354	 r	 0
1	 T	 2	 28	 0	 x	 R	 2.578	 r	 1
1	 T	 2	 29	 0	 x	 R	 3.483	 r	 1
1	 T	 2	 30	 0	 x	 L	 2.825	 l	 0
1	 T	 2	 31	 0	 x	 L	 2.990	 l	 0
1	 T	 2	 32	 0	 x	 R	 2.777	 l	 0
1	 T	 2	 33	 0	 x	 R	 2.837	 r	 1
1	 T	 2	 34	 1	 left	 R	 3.166	 r	 0
1	 T	 2	 35	 0	 x	 R	 2.436	 r	 1
1	 T	 2	 36	 1	 right	 R	 0.896	 l	 1
1	 T	 2	 37	 1	 right	 R	 0.848	 l	 1
1	 T	 2	 38	 1	 left	 L	 0.766	 l	 1
1	 T	 2	 39	 0	 x	 L	 2.308	 r	 1
1	 T	 2	 40	 1	 right	 L	 2.119	 r	 0
1	 T	 2	 41	 1	 right	 R	 0.649	 l	 1
1	 T	 2	 42	 0	 x	 R	 2.543	 r	 1
1	 T	 2	 43	 0	 x	 L	 1.731	 r	 1
1	 T	 2	 44	 1	 left	 R	 2.683	 r	 0
1	 T	 2	 45	 0	 x	 R	 2.436	 r	 1
1	 T	 2	 46	 0	 x	 L	 2.495	 r	 1
1	 T	 2	 47	 1	 right	 L	 2.919	 r	 0
1	 T	 2	 48	 1	 left	 L	 0.554	 l	 1
1	 T	 2	 49	 0	 x	 L	 2.555	 r	 1
1	 T	 2	 50	 0	 x	 R	 3.425	 r	 1
1	 T	 2	 51	 1	 right	 L	 2.543	 r	 0
1	 T	 2	 52	 1	 left	 L	 0.554	 l	 1
1	 T	 2	 53	 0	 x	 L	 2.743	 l	 0
1	 T	 2	 54	 0	 x	 L	 2.413	 r	 1
1	 T	 2	 55	 0	 x	 R	 2.425	 r	 1
1	 T	 2	 56	 1	 left	 R	 2.672	 r	 0
1	 T	 2	 57	 1	 right	 L	 2.330	 l	 1
1	 T	 2	 58	 0	 x	 L	 2.507	 r	 1
1	 T	 2	 59	 1	 left	 L	 0.507	 l	 1
1	 T	 2	 60	 0	 x	 L	 2.613	 r	 1
1	 T	 2	 61	 1	 right	 R	 0.789	 l	 1
1	 T	 2	 62	 1	 right	 L	 2.260	 r	 0
1	 T	 2	 63	 0	 x	 R	 0.789	 l	 0
1	 T	 2	 64	 1	 left	 R	 1.848	 l	 1
1	 T	 2	 65	 1	 left	 L	 0.531	 l	 1
1	 T	 2	 66	 1	 left	 L	 0.683	 l	 1
1	 T	 2	 67	 0	 x	 R	 2.378	 r	 1
1	 T	 2	 68	 0	 x	 L	 2.460	 r	 1
1	 T	 2	 69	 1	 left	 R	 2.366	 r	 0
1	 T	 2	 70	 0	 x	 L	 2.355	 r	 1
1	 T	 2	 71	 0	 x	 R	 1.872	 r	 1
1	 T	 2	 72	 1	 right	 R	 0.825	 l	 1
1	 T	 2	 73	 0	 x	 L	 1.496	 r	 1
1	 T	 2	 74	 1	 right	 L	 1.919	 r	 0
1	 T	 2	 75	 0	 x	 R	 2.519	 r	 1
1	 T	 2	 76	 0	 x	 L	 2.096	 r	 1
1	 T	 2	 77	 1	 left	 R	 1.884	 l	 1
1	 T	 2	 78	 1	 left	 R	 2.978	 r	 0
1	 T	 2	 79	 1	 left	 R	 2.966	 l	 1
1	 T	 2	 80	 1	 right	 R	 0.660	 l	 1
1	 T	 2	 81	 0	 x	 L	 2.637	 r	 1
1	 T	 2	 82	 0	 x	 R	 2.625	 l	 0
1	 T	 2	 83	 1	 right	 R	 0.460	 l	 1
1	 T	 2	 84	 1	 right	 L	 2.460	 r	 0
1	 T	 2	 85	 1	 right	 R	 0.566	 l	 1
1	 T	 2	 86	 0	 x	 R	 1.907	 r	 1
1	 T	 2	 87	 1	 left	 L	 0.543	 l	 1
1	 T	 2	 88	 0	 x	 R	 2.132	 r	 1
1	 T	 2	 89	 0	 x	 L	 2.154	 r	 1
1	 T	 2	 90	 0	 x	 R	 2.390	 l	 0
1	 T	 2	 91	 0	 x	 L	 1.649	 r	 1
1	 T	 2	 92	 0	 x	 L	 1.931	 r	 1
1	 T	 2	 93	 1	 right	 L	 2.460	 r	 0
1	 T	 2	 94	 0	 x	 R	 2.601	 r	 1
1	 T	 2	 95	 1	 right	 R	 0.848	 l	 1
1	 T	 2	 96	 0	 x	 R	 1.671	 l	 0
1	 U	 1	 1	 0	 x	 L	 10.036	 l	 0
1	 U	 1	 2	 0	 x	 R	 15.108	 r	 1
1	 U	 1	 3	 0	 x	 R	 12.025	 r	 1
1	 U	 1	 4	 1	 right	 R	 1.684	 l	 1
1	 U	 1	 5	 0	 x	 R	 11.731	 r	 1
1	 U	 1	 6	 1	 right	 R	 1.260	 l	 1
1	 U	 1	 7	 1	 right	 R	 1.601	 l	 1
1	 U	 1	 8	 0	 x	 L	 15.025	 r	 1
1	 U	 1	 9	 0	 x	 R	 12.190	 r	 1
1	 U	 1	 10	 1	 left	 R	 11.390	 r	 0
1	 U	 1	 11	 0	 x	 L	 17.708	 r	 1
1	 U	 1	 12	 1	 left	 R	 12.720	 r	 0
1	 U	 1	 13	 1	 left	 R	 13.696	 r	 0
1	 U	 1	 14	 1	 right	 R	 1.577	 l	 1
1	 U	 1	 15	 1	 right	 R	 1.225	 l	 1
1	 U	 1	 16	 0	 x	 L	 20.555	 r	 1
1	 U	 1	 17	 0	 x	 R	 31.026	 r	 1
1	 U	 1	 18	 1	 left	 L	 1.425	 l	 1
1	 U	 1	 19	 0	 x	 L	 15.002	 r	 1
1	 U	 1	 20	 0	 x	 L	 13.202	 r	 1
1	 U	 1	 21	 0	 x	 R	 17.708	 r	 1
1	 U	 1	 22	 0	 x	 R	 15.791	 r	 1
1	 U	 1	 23	 1	 left	 R	 12.272	 r	 0
1	 U	 1	 24	 0	 x	 R	 16.826	 r	 1
1	 U	 1	 25	 1	 right	 L	 18.062	 r	 0
1	 U	 1	 26	 0	 x	 L	 20.414	 r	 1
1	 U	 1	 27	 1	 right	 R	 1.908	 l	 1
1	 U	 1	 28	 0	 x	 R	 16.014	 r	 1
1	 U	 1	 29	 0	 x	 L	 11.496	 r	 1
1	 U	 1	 30	 1	 right	 L	 4.824	 l	 1
1	 U	 1	 31	 1	 right	 R	 2.107	 l	 1
1	 U	 1	 32	 1	 left	 R	 9.884	 r	 0
1	 U	 1	 33	 1	 left	 R	 4.189	 l	 1
1	 U	 1	 34	 1	 right	 L	 15.555	 r	 0
1	 U	 1	 35	 0	 x	 L	 17.037	 r	 1
1	 U	 1	 36	 0	 x	 L	 13.120	 r	 1
1	 U	 1	 37	 1	 right	 L	 11.731	 r	 0
1	 U	 1	 38	 0	 x	 R	 12.508	 r	 1
1	 U	 1	 39	 1	 left	 L	 2.848	 l	 1
1	 U	 1	 40	 1	 right	 L	 14.967	 r	 0
1	 U	 1	 41	 1	 left	 L	 0.907	 l	 1
1	 U	 1	 42	 0	 x	 R	 13.214	 r	 1
1	 U	 1	 43	 0	 x	 R	 11.732	 r	 1
1	 U	 1	 44	 0	 x	 R	 10.814	 r	 1
1	 U	 1	 45	 1	 left	 L	 0.860	 l	 1
1	 U	 1	 46	 0	 x	 R	 16.825	 r	 1
1	 U	 1	 47	 0	 x	 L	 14.579	 r	 1
1	 U	 1	 48	 0	 x	 L	 16.097	 r	 1
1	 U	 1	 49	 1	 right	 L	 17.002	 r	 0
1	 U	 1	 50	 1	 right	 R	 0.707	 l	 1
1	 U	 1	 51	 1	 left	 L	 0.719	 l	 1
1	 U	 1	 52	 1	 left	 R	 10.766	 r	 0
1	 U	 1	 53	 1	 right	 R	 0.848	 l	 1
1	 U	 1	 54	 0	 x	 R	 9.237	 r	 1
1	 U	 1	 55	 0	 x	 L	 11.367	 r	 1
1	 U	 1	 56	 0	 x	 L	 9.307	 r	 1
1	 U	 1	 57	 1	 left	 L	 0.601	 l	 1
1	 U	 1	 58	 1	 right	 L	 7.766	 r	 0
1	 U	 1	 59	 1	 right	 L	 11.143	 r	 0
1	 U	 1	 60	 1	 right	 L	 13.425	 r	 0
1	 U	 1	 61	 0	 x	 L	 12.720	 r	 1
1	 U	 1	 62	 0	 x	 L	 12.920	 r	 1
1	 U	 1	 63	 1	 right	 R	 1.036	 l	 1
1	 U	 1	 64	 1	 left	 L	 0.825	 l	 1
1	 U	 1	 65	 1	 left	 L	 0.707	 l	 1
1	 U	 1	 66	 1	 left	 L	 0.543	 l	 1
1	 U	 1	 67	 1	 right	 L	 7.826	 r	 0
1	 U	 1	 68	 0	 x	 R	 6.684	 r	 1
1	 U	 1	 69	 0	 x	 L	 8.425	 r	 1
1	 U	 1	 70	 1	 left	 R	 9.260	 r	 0
1	 U	 1	 71	 1	 left	 L	 0.777	 l	 1
1	 U	 1	 72	 1	 right	 R	 0.942	 l	 1
1	 U	 1	 73	 0	 x	 L	 9.555	 r	 1
1	 U	 1	 74	 0	 x	 L	 7.696	 r	 1
1	 U	 1	 75	 0	 x	 R	 9.048	 r	 1
1	 U	 1	 76	 0	 x	 R	 11.990	 l	 0
1	 U	 1	 77	 1	 left	 R	 15.167	 r	 0
1	 U	 1	 78	 0	 x	 L	 10.661	 r	 1
1	 U	 1	 79	 1	 right	 L	 19.226	 r	 0
1	 U	 1	 80	 1	 right	 L	 15.790	 r	 0
1	 U	 1	 81	 1	 left	 R	 6.637	 r	 0
1	 U	 1	 82	 0	 x	 L	 13.084	 r	 1
1	 U	 1	 83	 0	 x	 R	 10.226	 r	 1
1	 U	 1	 84	 0	 x	 R	 13.001	 r	 1
1	 U	 1	 85	 0	 x	 L	 11.402	 r	 1
1	 U	 1	 86	 0	 x	 R	 15.284	 r	 1
1	 U	 1	 87	 0	 x	 R	 16.296	 r	 1
1	 U	 1	 88	 1	 left	 R	 2.825	 l	 1
1	 U	 1	 89	 1	 right	 R	 0.919	 l	 1
1	 U	 1	 90	 0	 x	 R	 9.002	 r	 1
1	 U	 1	 91	 1	 left	 L	 2.037	 l	 1
1	 U	 1	 92	 0	 x	 R	 7.202	 r	 1
1	 U	 1	 93	 1	 left	 L	 0.542	 l	 1
1	 U	 1	 94	 1	 left	 R	 5.425	 l	 1
1	 U	 1	 95	 0	 x	 L	 4.272	 r	 1
1	 U	 1	 96	 0	 x	 L	 6.060	 r	 1
2	 T	 1	 1	 0	 x	 L	 2.902	 r	 1
2	 T	 1	 2	 0	 x	 L	 2.786	 r	 1
2	 T	 1	 3	 0	 x	 L	 2.836	 r	 1
2	 T	 1	 4	 0	 x	 R	 2.869	 r	 1
2	 T	 1	 5	 0	 x	 R	 3.203	 r	 1
2	 T	 1	 6	 0	 x	 R	 2.786	 r	 1
2	 T	 1	 7	 0	 x	 R	 2.853	 r	 1
2	 T	 1	 8	 0	 x	 L	 2.786	 r	 1
2	 T	 1	 9	 1	 right	 R	 0.835	 l	 1
2	 T	 1	 10	 1	 right	 R	 1.219	 l	 1
2	 T	 1	 11	 0	 x	 L	 2.703	 r	 1
2	 T	 1	 12	 0	 x	 L	 3.620	 r	 1
2	 T	 1	 13	 0	 x	 R	 2.669	 r	 1
2	 T	 1	 14	 1	 left	 R	 1.919	 l	 1
2	 T	 1	 15	 1	 right	 R	 0.752	 l	 1
