subNum	 trialNo	 fixNo	 xFix	 yFix	 fixStartTime	 fixEndTime
 1	 1	 1	 956	 574	 -2	 359
 1	 1	 2	 830	 634	 385	 536
 1	 1	 3	 775	 693	 557	 1104
 1	 1	 4	 950	 660	 1140	 1690
 1	 1	 5	 1026	 565	 1716	 1866
 1	 1	 6	 1094	 525	 2013	 2410
 1	 1	 7	 892	 645	 2451	 2734
 1	 1	 8	 791	 698	 2758	 3270
 1	 1	 9	 773	 713	 3278	 3414
 1	 2	 1	 962	 574	 -1	 264
 1	 2	 2	 833	 473	 292	 386
 1	 2	 3	 816	 414	 404	 741
 1	 3	 1	 943	 578	 -3	 753
 1	 3	 2	 988	 630	 770	 1106
 1	 3	 3	 759	 734	 1148	 1273
 1	 4	 1	 949	 592	 -1	 472
 1	 4	 2	 1115	 598	 500	 916
 1	 4	 3	 1002	 491	 944	 1400
 1	 4	 4	 1109	 458	 1423	 1499
 1	 5	 1	 973	 539	 1	 466
 1	 5	 2	 1015	 572	 479	 871
 1	 5	 3	 828	 497	 908	 1481
 1	 5	 4	 903	 521	 1498	 1910
 1	 5	 5	 934	 476	 1925	 2183
 1	 6	 1	 951	 577	 0	 446
 1	 6	 2	 983	 583	 456	 665
 1	 6	 3	 1034	 537	 684	 1044
 1	 6	 4	 1097	 537	 1061	 1371
 1	 6	 5	 1129	 593	 1388	 1610
 1	 6	 6	 978	 614	 1647	 2139
 1	 7	 1	 955	 552	 0	 408
 1	 7	 2	 993	 558	 421	 613
 1	 7	 3	 931	 523	 632	 1333
 1	 7	 4	 951	 435	 1357	 1636
 1	 7	 5	 956	 397	 1649	 1939
 1	 7	 6	 1320	 798	 1999	 2193
 1	 7	 7	 1332	 840	 2206	 2325
 1	 8	 1	 972	 553	 -1	 280
 1	 8	 2	 1070	 580	 302	 546
 1	 8	 3	 1295	 734	 584	 1194
 1	 8	 4	 1369	 701	 1216	 1667
 1	 8	 5	 1415	 688	 1683	 2056
 1	 8	 6	 1075	 495	 2109	 2323
 1	 9	 1	 990	 575	 -1	 36
 1	 9	 2	 972	 561	 44	 356
 1	 9	 3	 1071	 592	 378	 564
 1	 9	 4	 1191	 249	 608	 821
 1	 9	 5	 1166	 264	 829	 1080
 1	 10	 1	 962	 534	 -1	 300
 1	 10	 2	 1323	 434	 342	 514
 1	 10	 3	 1329	 409	 524	 730
 1	 10	 4	 931	 418	 781	 1097
 1	 11	 1	 946	 555	 33	 525
 1	 11	 2	 1205	 477	 568	 1009
 1	 11	 3	 1306	 425	 1034	 1147
 1	 11	 4	 1235	 861	 1198	 1429
 1	 11	 5	 1070	 885	 1456	 1829
